Rank,Movie, LifetimeGross ,Year
1,Avengers: Endgame,2797800564,2019
2,Avatar,2790439000,2009
3,Titanic,2194439542,1997
4,Star Wars: Episode VII - The Force Awakens,2068223624,2015
5,Avengers: Infinity War,2048359754,2018
6,Jurassic World,1670400637,2015
7,The Lion King,1656943394,2019
8,The Avengers,1518812988,2012
9,Furious 7,1515047671,2015
10,Frozen II,1438869773,2019
11,Avengers: Age of Ultron,1402805868,2015
12,Black Panther,1346913161,2018
13,Harry Potter and the Deathly Hallows: Part 2,1341932398,2011
14,Star Wars: Episode VIII - The Last Jedi,1332539889,2017
15,Jurassic World: Fallen Kingdom,1308467944,2018
16,Frozen,1280802282,2013
17,Beauty and the Beast,1263521126,2017
18,Incredibles 2,1242805359,2018
19,The Fate of the Furious,1236005118,2017
20,Iron Man 3,1214811252,2013
21,Minions,1159398397,2015
22,Captain America: Civil War,1153296293,2016
23,Aquaman,1148461807,2018
24,The Lord of the Rings: The Return of the King,1142219401,2003
25,Spider-Man: Far from Home,1131927996,2019
26,Captain Marvel,1128274794,2019
27,Transformers: Dark of the Moon,1123794079,2011
28,Skyfall,1108561013,2012
29,Transformers: Age of Extinction,1104054072,2014
30,The Dark Knight Rises,1081041287,2012
31,Toy Story 4,1073394593,2019
32,Joker,1072651773,2019
33,Toy Story 3,1066969703,2010
34,Star Wars: Episode IX - The Rise of Skywalker,1066957407,2019
35,Pirates of the Caribbean: Dead Man's Chest,1066179725,2006
36,Rogue One: A Star Wars Story,1056057273,2016
37,Aladdin,1050693953,2019
38,Pirates of the Caribbean: On Stranger Tides,1045713802,2011
39,Despicable Me 3,1034799409,2017
40,Jurassic Park,1032020521,1993
41,Finding Dory,1028570889,2016
42,Star Wars: Episode I - The Phantom Menace,1027082707,1999
43,Alice in Wonderland,1025467110,2010
44,Zootopia,1023784195,2016
45,The Hobbit: An Unexpected Journey,1017003568,2012
46,The Dark Knight,1004934033,2008
47,Harry Potter and the Sorcerer's Stone,978087613,2001
48,Harry Potter and the Deathly Hallows: Part 1,976920103,2010
49,Despicable Me 2,970766005,2013
50,The Lion King,968511805,1994
51,The Jungle Book,966550600,2016
52,Jumanji: Welcome to the Jungle,962102237,2017
53,Pirates of the Caribbean: At World's End,960996492,2007
54,The Hobbit: The Desolation of Smaug,958366855,2013
55,The Hobbit: The Battle of the Five Armies,956019788,2014
56,The Lord of the Rings: The Two Towers,951208089,2002
57,Harry Potter and the Order of the Phoenix,942044510,2007
58,Finding Nemo,940343261,2003
59,Harry Potter and the Half-Blood Prince,934326396,2009
60,Shrek 2,928760770,2004
61,Bohemian Rhapsody,903655259,2018
62,Harry Potter and the Goblet of Fire,896346229,2005
63,Spider-Man 3,894983373,2007
64,The Lord of the Rings: The Fellowship of the Ring,887832826,2001
65,Ice Age: Dawn of the Dinosaurs,886686817,2009
66,Spectre,880674609,2015
67,Spider-Man: Homecoming,880166924,2017
68,Harry Potter and the Chamber of Secrets,879465594,2002
69,Ice Age: Continental Drift,877244782,2012
70,The Secret Life of Pets,875457937,2016
71,Batman v Superman: Dawn of Justice,873634919,2015
72,Wolf Warrior 2,870325439,2017
73,Star Wars: Episode III - Revenge of the Sith,868390560,2005
74,The Hunger Games: Catching Fire,865011746,2013
